simulation,run,model,score
0,0,knn,0.9354838709677419
1,0,mlp,0.9032258064516129
2,0,lvq,0.9354838709677419
3,1,knn,0.967741935483871
4,1,mlp,0.9354838709677419
5,1,lvq,0.9354838709677419
6,2,knn,0.8709677419354839
7,2,mlp,0.8709677419354839
8,2,lvq,0.9354838709677419
9,3,knn,1.0
10,3,mlp,1.0
11,3,lvq,0.967741935483871
12,4,knn,0.9354838709677419
13,4,mlp,0.8387096774193549
14,4,lvq,0.9032258064516129
15,5,knn,1.0
16,5,mlp,0.967741935483871
17,5,lvq,0.9354838709677419
18,6,knn,0.967741935483871
19,6,mlp,0.9354838709677419
20,6,lvq,0.967741935483871
21,7,knn,0.9032258064516129
22,7,mlp,0.9354838709677419
23,7,lvq,0.9354838709677419
24,8,knn,0.967741935483871
25,8,mlp,0.9354838709677419
26,8,lvq,0.9354838709677419
27,9,knn,0.9032258064516129
28,9,mlp,0.9354838709677419
29,9,lvq,0.967741935483871
